STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,ACTIVITY,Economic activity,MEASURE,Measure,PRICE_BASE,Price base,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,BASE_PER,Base period,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,EST_METHOD,Estimation methodology,OBS_STATUS,Observation status
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,NOR,Norway,C26,"Manufacture of computer, electronic and optical products",P51G,Gross fixed capital formation,V,Current prices,XDC,National currency,1991,,1007,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,NOR,Norway,C29,"Manufacture of motor vehicles, trailers and semi-trailers",P51G,Gross fixed capital formation,V,Current prices,XDC,National currency,1991,,180,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,NOR,Norway,C18,Printing and reproduction of recorded media,P51G,Gross fixed capital formation,V,Current prices,XDC,National currency,1991,,335,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,NOR,Norway,J59_60,"Motion picture, video, television programme production; programming and broadcasting activities",P51G,Gross fixed capital formation,V,Current prices,XDC,National currency,1991,,367,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,NOR,Norway,M_N,"Professional, scientific and technical activities; administrative and support service activities",P51G,Gross fixed capital formation,V,Current prices,XDC,National currency,1991,,3511,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,NOR,Norway,C16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",P51G,Gross fixed capital formation,V,Current prices,XDC,National currency,1991,,507,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,NOR,Norway,C28,Manufacture of machinery and equipment n.e.c.,P51G,Gross fixed capital formation,V,Current prices,XDC,National currency,1991,,673,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,NOR,Norway,C29_30,"Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment",P51G,Gross fixed capital formation,V,Current prices,XDC,National currency,1991,,777,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,NOR,Norway,C27,Manufacture of electrical equipment,P51G,Gross fixed capital formation,V,Current prices,XDC,National currency,1991,,659,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,NOR,Norway,C17,Manufacture of paper and paper products,P51G,Gross fixed capital formation,V,Current prices,XDC,National currency,1991,,1313,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,NOR,Norway,C25,"Manufacture of fabricated metal products, except machinery and equipment",P51G,Gross fixed capital formation,V,Current prices,XDC,National currency,1991,,646,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,NOR,Norway,C31_32,Manufacture of furniture; other manufacturing,P51G,Gross fixed capital formation,V,Current prices,XDC,National currency,1991,,365,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,NOR,Norway,C26,"Manufacture of computer, electronic and optical products",P51G,Gross fixed capital formation,V,Current prices,XDC,National currency,1990,,981,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,NOR,Norway,C29,"Manufacture of motor vehicles, trailers and semi-trailers",P51G,Gross fixed capital formation,V,Current prices,XDC,National currency,1990,,162,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,NOR,Norway,C18,Printing and reproduction of recorded media,P51G,Gross fixed capital formation,V,Current prices,XDC,National currency,1990,,329,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,NOR,Norway,J59_60,"Motion picture, video, television programme production; programming and broadcasting activities",P51G,Gross fixed capital formation,V,Current prices,XDC,National currency,1990,,336,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,NOR,Norway,C16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",P51G,Gross fixed capital formation,V,Current prices,XDC,National currency,1990,,788,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,NOR,Norway,C28,Manufacture of machinery and equipment n.e.c.,P51G,Gross fixed capital formation,V,Current prices,XDC,National currency,1990,,655,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,NOR,Norway,M_N,"Professional, scientific and technical activities; administrative and support service activities",P51G,Gross fixed capital formation,V,Current prices,XDC,National currency,1990,,3008,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,NOR,Norway,C29_30,"Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment",P51G,Gross fixed capital formation,V,Current prices,XDC,National currency,1990,,728,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,NOR,Norway,C27,Manufacture of electrical equipment,P51G,Gross fixed capital formation,V,Current prices,XDC,National currency,1990,,673,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,NOR,Norway,C17,Manufacture of paper and paper products,P51G,Gross fixed capital formation,V,Current prices,XDC,National currency,1990,,1211,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,NOR,Norway,C25,"Manufacture of fabricated metal products, except machinery and equipment",P51G,Gross fixed capital formation,V,Current prices,XDC,National currency,1990,,659,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,NOR,Norway,C31_32,Manufacture of furniture; other manufacturing,P51G,Gross fixed capital formation,V,Current prices,XDC,National currency,1990,,404,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,NOR,Norway,C26,"Manufacture of computer, electronic and optical products",P51G,Gross fixed capital formation,V,Current prices,XDC,National currency,1989,,841,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,NOR,Norway,C29,"Manufacture of motor vehicles, trailers and semi-trailers",P51G,Gross fixed capital formation,V,Current prices,XDC,National currency,1989,,174,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,NOR,Norway,C18,Printing and reproduction of recorded media,P51G,Gross fixed capital formation,V,Current prices,XDC,National currency,1989,,238,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,NOR,Norway,J59_60,"Motion picture, video, television programme production; programming and broadcasting activities",P51G,Gross fixed capital formation,V,Current prices,XDC,National currency,1989,,274,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,NOR,Norway,C16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",P51G,Gross fixed capital formation,V,Current prices,XDC,National currency,1989,,682,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,NOR,Norway,C28,Manufacture of machinery and equipment n.e.c.,P51G,Gross fixed capital formation,V,Current prices,XDC,National currency,1989,,545,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,NOR,Norway,M_N,"Professional, scientific and technical activities; administrative and support service activities",P51G,Gross fixed capital formation,V,Current prices,XDC,National currency,1989,,2663,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,NOR,Norway,C29_30,"Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment",P51G,Gross fixed capital formation,V,Current prices,XDC,National currency,1989,,663,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,NOR,Norway,C27,Manufacture of electrical equipment,P51G,Gross fixed capital formation,V,Current prices,XDC,National currency,1989,,663,,,,6,Millions,1,One,,,A,Normal value
DATAFLOW,OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),"STAN Database for Structural Analysis, 2025 edition",I,A,Annual,NOR,Norway,C17,Manufacture of paper and paper products,P51G,Gross fixed capital formation,V,Current prices,XDC,National currency,1989,,702,,,,6,Millions,1,One,,,A,Normal value
