STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,TRADE_FLOW,Trade flow,END_USE,End-use,PRODUCT,Product,COUNTERPART_AREA,Counterpart area,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.STI.PIE:DSD_BTIGE@DF_BTIGE(1.0),Bilateral Trade in goods by end-use,I,A,Annual,GBR,United Kingdom,M,Imports,TOTAL,Total products,CPA_2_1_C18,Printing and reproduction services of recorded media,W,World,USD,US dollar,1989,,98480.6,,3,Thousands
DATAFLOW,OECD.STI.PIE:DSD_BTIGE@DF_BTIGE(1.0),Bilateral Trade in goods by end-use,I,A,Annual,CAN,Canada,X,Exports,TOTAL,Total products,CPA_2_1_C27,Electrical equipment,W,World,USD,US dollar,1991,,1703580.2,,3,Thousands
DATAFLOW,OECD.STI.PIE:DSD_BTIGE@DF_BTIGE(1.0),Bilateral Trade in goods by end-use,I,A,Annual,CAN,Canada,X,Exports,TOTAL,Total products,CPA_2_1_C23,Other non-metallic mineral products,W,World,USD,US dollar,1991,,803729.1,,3,Thousands
DATAFLOW,OECD.STI.PIE:DSD_BTIGE@DF_BTIGE(1.0),Bilateral Trade in goods by end-use,I,A,Annual,CAN,Canada,M,Imports,TOTAL,Total products,CPA_2_1_C16,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",W,World,USD,US dollar,1991,,848893.5,,3,Thousands
DATAFLOW,OECD.STI.PIE:DSD_BTIGE@DF_BTIGE(1.0),Bilateral Trade in goods by end-use,I,A,Annual,CAN,Canada,M,Imports,TOTAL,Total products,CPA_2_1_C21,Basic pharmaceutical products and pharmaceutical preparations,W,World,USD,US dollar,1991,,984132.6,,3,Thousands
DATAFLOW,OECD.STI.PIE:DSD_BTIGE@DF_BTIGE(1.0),Bilateral Trade in goods by end-use,I,A,Annual,CAN,Canada,M,Imports,TOTAL,Total products,CPA_2_1_C14,Wearing apparel,W,World,USD,US dollar,1991,,2149729.3,,3,Thousands
DATAFLOW,OECD.STI.PIE:DSD_BTIGE@DF_BTIGE(1.0),Bilateral Trade in goods by end-use,I,A,Annual,CAN,Canada,M,Imports,TOTAL,Total products,CPA_2_1_C29_30,"Motor vehicles, trailers, semi-trailers and of other transport equipment",W,World,USD,US dollar,1991,,30912316.9,,3,Thousands
DATAFLOW,OECD.STI.PIE:DSD_BTIGE@DF_BTIGE(1.0),Bilateral Trade in goods by end-use,I,A,Annual,CAN,Canada,M,Imports,TOTAL,Total products,CPA_2_1_C18,Printing and reproduction services of recorded media,W,World,USD,US dollar,1991,,110312.7,,3,Thousands
DATAFLOW,OECD.STI.PIE:DSD_BTIGE@DF_BTIGE(1.0),Bilateral Trade in goods by end-use,I,A,Annual,CAN,Canada,M,Imports,TOTAL,Total products,CPA_2_1_C10,Food products,W,World,USD,US dollar,1991,,4559290.7,,3,Thousands
DATAFLOW,OECD.STI.PIE:DSD_BTIGE@DF_BTIGE(1.0),Bilateral Trade in goods by end-use,I,A,Annual,CAN,Canada,M,Imports,TOTAL,Total products,CPA_2_1_C26,"Computer, electronic and optical products",W,World,USD,US dollar,1991,,15519458,,3,Thousands
