Country,Accounting standards
Bangladesh,
Kenya,
Morocco,
Sri Lanka,
Pakistan,
Costa Rica,
Zimbabwe,
Jordan,
Egypt,24.0
Portugal,36.0
Peru,38.0
Venezuela,40.0
Colombia,50.0
Turkey,51.0
Chile,52.0
Brazil,54.0
Austria,54.0
Greece,55.0
India,57.0
Mexico,60.0
Belgium,61.0
Denmark,62.0
Germany,62.0
Italy,62.0
Korea,62.0
Netherlands,64.0
Spain,64.0
Israel,64.0
Philippines,65.0
Japan,65.0
France,69.0
New Zealand,70.0
South Africa,70.0
Norway,74.0
Canada,74.0
Australia,75.0
Malaysia,76.0
Finland,77.0
United Kingdom,78.0
Singapore,78.0
Sweden,83.0
United States,59.0
