country,no_auto_stay,secured_creditors_first,reorg_restrictions,mgmt_does_not_stay,creditor_rights_score,legal_reserve_pct
Australia,0.0,1.0,0.0,0.0,1.0,0.0
Canada,0.0,1.0,0.0,0.0,1.0,0.0
Hongkong,1.0,1.0,1.0,1.0,4.0,0.0
India,1.0,1.0,1.0,1.0,4.0,0.0
Ireland,0.0,1.0,0.0,0.0,1.0,0.0
Israel,1.0,1.0,1.0,1.0,4.0,0.0
Kenya,1.0,1.0,1.0,1.0,4.0,0.0
Malaysia,1.0,1.0,1.0,1.0,4.0,0.0
New Zealand,1.0,0.0,1.0,1.0,3.0,0.0
Nigeria,1.0,1.0,1.0,1.0,4.0,0.0
Pakistan,1.0,1.0,1.0,1.0,4.0,0.0
Singapore,1.0,1.0,1.0,1.0,4.0,0.0
South Africa,0.0,1.0,1.0,1.0,3.0,0.0
Sri Lanka,1.0,0.0,1.0,1.0,3.0,0.0
Thailand,1.0,1.0,0.0,1.0,3.0,0.1
UK,1.0,1.0,1.0,1.0,4.0,0.0
US,0.0,1.0,0.0,0.0,1.0,0.0
Zimbabwe,1.0,1.0,1.0,1.0,4.0,0.0
Argentina,0.0,1.0,0.0,0.0,1.0,0.2
Belgium,1.0,1.0,0.0,0.0,2.0,0.1
Brazil,0.0,0.0,1.0,0.0,1.0,0.2
Chile,0.0,1.0,1.0,0.0,2.0,0.2
Colombia,0.0,0.0,0.0,0.0,0.0,0.5
Ecuador,1.0,1.0,1.0,1.0,4.0,0.5
Egypt,1.0,1.0,1.0,1.0,4.0,0.5
France,0.0,0.0,0.0,0.0,0.0,0.1
Greece,0.0,0.0,0.0,1.0,1.0,0.33
Indonesia,1.0,1.0,1.0,1.0,4.0,0.0
Italy,0.0,1.0,1.0,0.0,2.0,0.2
Jordan,,,,,,0.25
Mexico,0.0,0.0,0.0,0.0,0.0,0.2
Netherlands,0.0,1.0,1.0,0.0,2.0,0.0
Peru,0.0,0.0,0.0,0.0,0.0,0.2
Philippines,0.0,0.0,0.0,0.0,0.0,0.0
Portugal,0.0,1.0,0.0,0.0,1.0,0.2
Spain,1.0,1.0,0.0,0.0,2.0,0.2
Turkey,0.0,1.0,1.0,0.0,2.0,0.2
Uruguay,0.0,1.0,0.0,1.0,2.0,0.2
Venezuela,,1.0,,,,0.1
Austria,1.0,1.0,1.0,0.0,3.0,0.1
Germany,1.0,1.0,1.0,0.0,3.0,0.1
Japan,0.0,1.0,0.0,1.0,2.0,0.25
South Korea,1.0,1.0,0.0,1.0,3.0,0.5
Switzerland,0.0,1.0,0.0,0.0,1.0,0.5
Taiwan,1.0,1.0,0.0,0.0,2.0,1.0
Denmark,1.0,1.0,1.0,0.0,3.0,0.25
Finland,0.0,1.0,0.0,0.0,1.0,0.0
Norway,0.0,1.0,1.0,0.0,2.0,0.2
Sweden,0.0,1.0,1.0,0.0,2.0,0.2
