Year,Country,Product,Flows,Value OR Volume,Unit,Superscript
1990,Australia,Ind. roundwood,Production Quantity,17213,1000 m3,F
1990,Austria,Ind. roundwood,Production Quantity,14160,1000 m3,F
1990,Belgium,Ind. roundwood,Production Quantity,4360,1000 m3,I
1990,Canada,Ind. roundwood,Production Quantity,155958,1000 m3,F
1990,Denmark,Ind. roundwood,Production Quantity,1942.19,1000 m3,I
1990,Finland,Ind. roundwood,Production Quantity,40246,1000 m3,F
1990,France,Ind. roundwood,Production Quantity,31199,1000 m3,F
1990,Greece,Ind. roundwood,Production Quantity,1146,1000 m3,F
1990,Italy,Ind. roundwood,Production Quantity,4335,1000 m3,F
1990,Japan,Ind. roundwood,Production Quantity,29367,1000 m3,I
1990,Mexico,Ind. roundwood,Production Quantity,7964,1000 m3,I
1990,Netherlands,Ind. roundwood,Production Quantity,1275,1000 m3,F
1990,New Zealand,Ind. roundwood,Production Quantity,13127,1000 m3,F
1990,Norway,Ind. roundwood,Production Quantity,10900,1000 m3,F
1990,Portugal,Ind. roundwood,Production Quantity,10705,1000 m3,F
1990,Spain,Ind. roundwood,Production Quantity,13790,1000 m3,F
1990,Sweden,Ind. roundwood,Production Quantity,49071,1000 m3,F
1990,United Kingdom,Ind. roundwood,Production Quantity,6125,1000 m3,F
1990,United States,Ind. roundwood,Production Quantity,427200,1000 m3,F
1991,Australia,Ind. roundwood,Production Quantity,16604,1000 m3,F
1991,Austria,Ind. roundwood,Production Quantity,13135,1000 m3,F
1991,Belgium,Ind. roundwood,Production Quantity,4205,1000 m3,F
1991,Canada,Ind. roundwood,Production Quantity,153487,1000 m3,F
1991,Denmark,Ind. roundwood,Production Quantity,2050,1000 m3,I
1991,Finland,Ind. roundwood,Production Quantity,31941,1000 m3,F
1991,France,Ind. roundwood,Production Quantity,30318,1000 m3,F
1991,Germany,Ind. roundwood,Production Quantity,37280,1000 m3,I
1991,Greece,Ind. roundwood,Production Quantity,1196,1000 m3,F
1991,Italy,Ind. roundwood,Production Quantity,4088,1000 m3,F
1991,Japan,Ind. roundwood,Production Quantity,27999,1000 m3,I
1991,Mexico,Ind. roundwood,Production Quantity,7600,1000 m3,I
1991,Netherlands,Ind. roundwood,Production Quantity,996,1000 m3,F
1991,New Zealand,Ind. roundwood,Production Quantity,13820,1000 m3,F
1991,Norway,Ind. roundwood,Production Quantity,10345,1000 m3,F
1991,Portugal,Ind. roundwood,Production Quantity,10309,1000 m3,F
1991,Spain,Ind. roundwood,Production Quantity,12988,1000 m3,F
1991,Sweden,Ind. roundwood,Production Quantity,47600,1000 m3,F
1991,United Kingdom,Ind. roundwood,Production Quantity,6122,1000 m3,F
1991,United States,Ind. roundwood,Production Quantity,388300,1000 m3,F
1990,Australia,Ind. roundwood (C),Production Quantity,6948,1000 m3,F
1990,Austria,Ind. roundwood (C),Production Quantity,13048,1000 m3,F
1990,Belgium,Ind. roundwood (C),Production Quantity,3210,1000 m3,I
1990,Canada,Ind. roundwood (C),Production Quantity,141089,1000 m3,F
1990,Denmark,Ind. roundwood (C),Production Quantity,1142.19,1000 m3,F
1990,Finland,Ind. roundwood (C),Production Quantity,34116,1000 m3,F
1990,France,Ind. roundwood (C),Production Quantity,17699,1000 m3,F
1990,Greece,Ind. roundwood (C),Production Quantity,504,1000 m3,F
1990,Italy,Ind. roundwood (C),Production Quantity,1175,1000 m3,F
1990,Japan,Ind. roundwood (C),Production Quantity,19616,1000 m3,I
1990,Mexico,Ind. roundwood (C),Production Quantity,7064,1000 m3,F
1990,Netherlands,Ind. roundwood (C),Production Quantity,955,1000 m3,F
1990,New Zealand,Ind. roundwood (C),Production Quantity,12754,1000 m3,F
1990,Norway,Ind. roundwood (C),Production Quantity,10460,1000 m3,F
1990,Portugal,Ind. roundwood (C),Production Quantity,6534,1000 m3,F
1990,Spain,Ind. roundwood (C),Production Quantity,9246,1000 m3,F
1990,Sweden,Ind. roundwood (C),Production Quantity,43838,1000 m3,F
1990,United Kingdom,Ind. roundwood (C),Production Quantity,5160,1000 m3,F
1990,United States,Ind. roundwood (C),Production Quantity,312200,1000 m3,F
1991,Australia,Ind. roundwood (C),Production Quantity,6567,1000 m3,F
1991,Austria,Ind. roundwood (C),Production Quantity,12067,1000 m3,F
1991,Belgium,Ind. roundwood (C),Production Quantity,3120,1000 m3,F
1991,Canada,Ind. roundwood (C),Production Quantity,138379,1000 m3,F
1991,Denmark,Ind. roundwood (C),Production Quantity,1300,1000 m3,I
1991,Finland,Ind. roundwood (C),Production Quantity,27411,1000 m3,F
1991,France,Ind. roundwood (C),Production Quantity,17009,1000 m3,F
1991,Germany,Ind. roundwood (C),Production Quantity,30000,1000 m3,I
1991,Greece,Ind. roundwood (C),Production Quantity,522,1000 m3,F
1991,Italy,Ind. roundwood (C),Production Quantity,1057,1000 m3,F
1991,Japan,Ind. roundwood (C),Production Quantity,19098,1000 m3,I
1991,Mexico,Ind. roundwood (C),Production Quantity,6700,1000 m3,F
1991,Netherlands,Ind. roundwood (C),Production Quantity,693,1000 m3,F
1991,New Zealand,Ind. roundwood (C),Production Quantity,13597,1000 m3,F
1991,Norway,Ind. roundwood (C),Production Quantity,9956,1000 m3,F
1991,Portugal,Ind. roundwood (C),Production Quantity,5562,1000 m3,F
1991,Spain,Ind. roundwood (C),Production Quantity,8699,1000 m3,F
1991,Sweden,Ind. roundwood (C),Production Quantity,42520,1000 m3,F
1991,United Kingdom,Ind. roundwood (C),Production Quantity,5110,1000 m3,F
1991,United States,Ind. roundwood (C),Production Quantity,273700,1000 m3,F
1990,Australia,Ind. roundwood (NC),Production Quantity,10265,1000 m3,F
1990,Austria,Ind. roundwood (NC),Production Quantity,1112,1000 m3,F
1990,Belgium,Ind. roundwood (NC),Production Quantity,1150,1000 m3,F
1990,Canada,Ind. roundwood (NC),Production Quantity,14869,1000 m3,F
1990,Denmark,Ind. roundwood (NC),Production Quantity,800,1000 m3,I
1990,Finland,Ind. roundwood (NC),Production Quantity,6130,1000 m3,F
1990,France,Ind. roundwood (NC),Production Quantity,13702.1,1000 m3,I
1990,Greece,Ind. roundwood (NC),Production Quantity,642,1000 m3,F
1990,Italy,Ind. roundwood (NC),Production Quantity,3160,1000 m3,F
1990,Japan,Ind. roundwood (NC),Production Quantity,9751,1000 m3,F
