Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.56852792,26.39676113,26.54996353,27.70882254,26.1997406,29.19325596,25.60163645,22.52783552,21.5498393,25.35157912,24.26075843,22.66480823,21.89686662,24.05149603,17.92273078,13.2548289,12.48081227,13.08444396,15.24681282,17.52965247,21.68936853,21.6210351,21.10836236,20.39449722,18.09709197,8.379429836,15.36692262,20.78728279,29.84394449,34.50054224
Africa Eastern and Southern,AFE,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,31.75579873,29.75392383,27.88908825,34.510587,29.60813985,23.35063621,23.70790237,23.25022152,18.65530832,17.78204339,17.24636351,18.32925652,13.82416592,14.23269503,15.54874099,14.45576177,12.6183052,13.18593514,14.71462315,16.34461551,20.69337555,20.12118178,20.51678037,22.51585205,24.38609921,25.5345904,26.77904247,22.66391987,23.09937876,23.18352392,20.68614212,19.43375788,19.48336069,17.52776478,18.48586064,18.99449891,19.43535334,19.78814337,18.95538237,21.07146655,20.24010106,17.85181908,16.9055074
Afghanistan,AFG,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.41256679,-9.740707113,-19.45699101,-19.28551865,
Africa Western and Central,AFW,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1984229,34.25516102,44.40564963,50.11906798,53.21059458,52.0677071,52.42831991,41.64825253,46.55480192,46.57036607,46.08320428,40.10860352,33.32198924,26.42709214,32.43705785,34.43307122,37.7755592,38.28161152,28.45138356,33.35792054,29.31431873,23.9267531,22.53581757
Albania,ALB,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,32.58457894,34.30517862,31.0160175,31.06528844,27.28897349,28.03573515,27.966024,25.70992835,23.37425906,26.36224141,18.13197765,-17.09990811,-86.91212364,-38.49164109,-15.8061214,0.827727446,-0.273976703,-4.888898795,-1.886446429,7.322959453,11.49181996,15.2077323,12.92624265,12.22667411,14.39751337,14.15366026,14.15423139,10.0186148,7.222447319,8.408350159,12.17994901,11.24755824,10.96821144,11.04482334,9.420266935,10.6726621,10.13943202,12.87380299,13.65923803,11.77769413,11.77915683,15.34796818,16.498473,17.92443533,18.06659759
Andorra,AND,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,,,,,,,,,19.49929497,19.41793258,18.51316258,21.44732686,24.03325291,32.4593878,54.44080127,43.54780128,44.95846888,39.70820993,33.55774917,39.78806797,46.95111318,40.36523241,28.40274415,21.55228748,19.62820302,17.99900774,10.46725257,12.86946225,12.38878328,8.762056117,22.67686227,14.43946128,18.65542129,17.44320632,19.67036557,21.82256035,24.01931973,24.42244622,20.55273322,27.27054509,34.29966525,31.80713472,31.1818185,34.24487535,37.10808051,42.22915705,43.74190027,42.37057873,45.29742539,34.74666459,41.04869401,44.03703872,43.87402851,41.49126838,37.0219072,27.87495202,27.10690635,30.0535162,34.12163411,32.18406876,23.97401893,31.59930545,37.62364761,33.48047414,31.42856949
United Arab Emirates,ARE,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.95647639,28.48081805,31.6758958,30.49150839,35.78461828,37.0554184,33.16922496,34.32031577,37.47824998,50.77718168,54.03621473,60.06885091,57.55119467,54.70304208,48.14453618,47.74843595,47.78710001,51.1667559,49.64039474,39.83239451,45.47799216,46.11642456,42.91079081,
Argentina,ARG,Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,20.96352081,29.89930717,20.75386048,17.98662612,24.09924919,24.50296837,22.20577443,23.71356738,22.77123692,23.99059702,25.30577799,23.51230792,24.25143471,22.79698161,22.87389306,29.28621613,33.98323232,33.23118706,30.69314738,26.0379663,23.83605681,22.24020775,24.324448,24.20312357,22.79750164,23.05183789,19.2996865,19.85230775,21.95980623,21.99356204,19.72519799,16.23401502,15.16780375,17.28365896,16.89119065,18.08975562,18.97459469,18.61161477,18.45186881,16.13452348,16.88379689,16.93174138,25.86632884,25.36413679,24.55386308,24.82874662,24.30039657,24.4794432,23.29190326,21.11795557,20.60216735,20.0907222,18.45116308,17.20619668,17.66704454,15.9957829,16.62353035,15.56353276,14.72472056,17.42917211,17.42228581,21.13101802,18.36874233,18.06323988,18.39832762
