OBS COUNTRY,YR,POP,RGDPCH,RGDPEA,RGDPW,CGDP,CC,CI,CG,P,PC,PI,PG,XR,KAPW,KPDUR,KRES,OPEN,RGNP
ALGERIA,1988.0,23805,2726,3515.0,12011.0,2562,52.1,28.8,18.3,85.3,81.6,103.7,77.0,6.915,,,,29.7,96.6
ANGOLA,1986.0,8605,840,1081.0,1944.0,840,58.1,11.0,24.9,60.3,65.0,64.2,43.8,79.5,,,,,
BENIN,,4454,952,1246.0,2020.0,1054,75.7,4.3,24.8,38.2,44.8,120.4,16.3,297.85,,,,48.6,102.4
BOTSWANA,1988.0,1103,2282,3025.0,6402.0,2507,33.5,19.3,40.5,43.3,50.0,55.9,22.6,1.868,,,,116.3,87.3
BURKINA FASO,,8546,566,726.0,1209.0,616,64.8,14.2,31.1,35.3,42.5,70.0,26.4,297.85,,,,59.0,99.8
BURUNDI,,5149,552,713.0,1054.0,597,53.2,13.0,33.5,35.6,47.5,57.8,16.2,140.39,,,,38.0,98.0
CAMEROON,,11313,1515,2067.0,4514.0,1669,70.1,8.0,23.8,68.9,75.2,164.3,24.9,291.71,,,,35.0,96.7
CAPE VERDE IS.,1988.0,327,1419,1786.0,3835.0,1419,65.5,32.0,18.6,24.5,35.4,46.8,21.0,93.0,,,,101.8,97.0
CENTRAL AFR. R.,,2794,686,874.0,1428.0,747,77.4,4.7,24.6,63.6,62.9,153.4,19.4,297.85,,,,45.9,98.0
CHAD,1988.0,5018,519,658.0,1455.0,519,70.6,5.0,23.7,25.6,30.5,38.5,15.5,449.26,,,,53.5,99.5
COMOROS,,395,711,923.0,1377.0,711,65.8,23.0,25.3,40.8,51.8,62.2,34.4,449.26,,,,73.3,99.3
CONGO,1986.0,1953,2219,2839.0,5989.0,2116,37.3,8.8,60.1,44.8,71.8,165.7,16.6,346.3,,,,93.5,92.6
EGYPT,,51447,1716,2136.0,6373.0,1935,56.4,5.3,42.5,36.2,50.0,157.1,10.6,1.588,,,,56.8,94.7
ETHIOPIA,1986.0,43496,332,428.0,738.0,351,67.7,3.8,31.9,34.3,40.1,126.2,18.2,2.07,,,,35.4,99.4
GABON,,997,4210,5093.0,8103.0,4210,38.9,33.7,14.5,84.0,71.9,96.6,80.8,449.96,,,,95.4,84.3
GAMBIA,1988.0,748,725,920.0,1766.0,725,68.6,12.1,20.8,31.8,37.2,49.2,18.0,4.988,,,,100.2,78.1
GHANA,,14040,877,1146.0,2287.0,991,71.1,5.4,25.7,37.6,44.7,96.9,12.1,202.35,,,,43.0,97.5
GUINEA,1988.0,6081,501,638.0,1070.0,601,65.9,13.1,30.4,74.5,82.4,108.8,40.4,24.332,,,,,
GUINEA-BISS,,940,709,,,786,66.4,15.2,26.7,19.9,30.6,42.3,7.8,1111.1,,,,77.8,96.6
IVORY COAST,,11587,1300,1687.0,3445.0,1434,59.9,6.1,29.4,58.6,58.0,108.8,32.7,297.85,,,,57.9,93.6
KENYA,,23021,902,1224.0,2226.0,1014,63.2,12.0,26.1,36.8,34.5,89.3,23.6,17.747,1211.0,36.0,45.9,42.2,96.7
LESOTHO,1988.0,1545,1236,1568.0,2616.0,1236,79.4,14.0,22.1,13.1,27.9,37.0,13.1,2.191,,,,153.9,199.7
LIBERIA,1986.0,2250,867,1133.0,2357.0,896,61.9,9.2,24.2,53.8,56.6,62.4,33.9,1.0,,,,76.8,93.3
MADAGASCAR,,11259,608,782.0,1426.0,670,71.3,7.9,22.9,25.0,28.2,59.0,11.4,1407.1,,,,50.9,91.4
MALAWI,,8155,543,705.0,1334.0,617,70.9,4.2,26.8,23.7,26.3,103.8,10.6,2.561,,,,53.3,116.2
MALI,,7989,474,617.0,1348.0,505,80.4,5.2,23.2,48.2,56.2,155.4,18.5,297.85,,,,47.5,98.5
MAURITANIA,,1907,958,1250.0,2846.0,1061,64.4,12.2,27.1,49.5,58.9,81.8,21.9,75.261,,,,109.4,92.7
MAURITIUS,,1048,4629,5486.0,11570.0,5315,64.9,16.2,18.9,35.0,34.4,62.8,17.6,13.438,,,,144.0,98.1
MOROCCO,,23920,2060,2565.0,6711.0,2376,61.4,9.5,29.1,38.7,39.3,109.2,17.1,8.209,,,,49.9,95.1
MOZAMBIQUE,,14967,919,1173.0,1694.0,1034,65.6,9.1,29.1,8.1,11.5,32.8,5.4,625.0,,,,77.6,80.5
NIGER,,6998,602,787.0,1222.0,659,72.0,5.9,25.0,52.0,61.3,99.0,20.5,297.85,,,,40.1,97.4
NIGERIA,,110131,1003,1324.0,2786.0,1033,72.5,5.5,21.4,26.4,26.7,70.3,13.0,4.537,,,,48.4,98.9
RWANDA,,6657,661,871.0,1322.0,733,68.8,6.5,29.3,47.3,56.6,128.7,17.1,76.445,,,,25.8,99.4
SENEGAL,,7154,1126,1448.0,2623.0,1248,68.0,6.9,29.1,65.8,61.3,156.9,27.5,297.85,,,,56.5,95.3
SEYCHELLES,1986.0,66,3069,,,3246,46.2,41.7,28.9,98.3,121.1,59.2,115.6,6.177,,,,93.2,96.0
SIERRA LEONE,1987.0,3841,924,1166.0,2561.0,1031,64.2,1.6,34.0,15.4,19.8,18.2,2.5,31.847,,,,25.1,109.6
SOMALIA,,5882,791,1021.0,2232.0,881,70.4,15.9,23.6,32.4,40.0,78.8,12.2,170.45,,,,46.1,93.9
SOUTH AFRICA,,33338,4431,5574.0,12781.0,4936,58.8,17.3,21.2,52.5,50.3,70.4,40.2,2.261,,,,52.2,96.1
SUDAN,,23776,883,1140.0,2754.0,1003,77.1,1.2,23.4,49.1,54.1,483.6,16.2,3.75,,,,12.0,96.3
SWAZILAND,1988.0,665,2113,2741.0,5147.0,2113,61.0,18.3,26.7,24.1,33.2,43.9,15.5,2.191,,,,57.5,93.3
TANZANIA,,24739,488,646.0,1015.0,567,47.4,13.3,45.1,22.4,43.9,40.5,5.3,99.292,,,,74.8,98.2
TOGO,,3362,668,863.0,1685.0,710,63.4,12.8,27.6,56.9,61.8,108.0,30.7,297.85,,,,74.8,96.2
TUNISIA,,7796,2921,3608.0,9336.0,3170,70.3,6.3,23.2,40.6,37.4,137.4,24.9,0.858,,,,84.6,95.0
UGANDA,1988.0,14680,430,566.0,895.0,430,81.1,3.0,17.5,60.2,69.9,206.8,13.2,672.02,,,,27.7,98.2
ZAIRE,,33615,356,460.0,958.0,391,59.2,10.9,31.2,49.2,56.6,56.2,33.1,184.07,,,,75.5,91.9
ZAMBIA,,7486,715,938.0,2162.0,868,63.3,9.6,25.5,61.5,67.3,82.8,36.3,8.206,,,,53.4,89.9
ZIMBABWE,,9257,1265,1663.0,3158.0,1371,51.1,11.2,36.2,49.8,56.0,106.9,22.5,1.502,1860.0,37.9,18.1,51.7,96.7
BAHAMAS,1987.0,241,10516,,,11004,63.4,19.0,11.9,102.3,103.1,114.1,92.2,1.0,,,,117.1,94.0
BARBADOS,1988.0,265,6152,7123.0,12256.0,6152,62.8,16.9,17.0,77.2,80.1,82.8,61.7,2.011,,,,124.8,98.8
