country,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991
World,2928.0,3038.8,3152.8,3180.4,3267.1,3338.1,3396.0,3451.0,3506.6,3429.4
Africa,408.8,422.1,433.1,447.9,459.9,473.0,486.1,499.6,513.9,527.2
Algeria,1.7,1.8,1.8,1.9,1.9,2.0,2.1,2.1,2.2,2.2
Angola,5.2,5.4,5.6,5.7,5.8,6.0,6.1,6.3,6.4,6.6
Benin,4.0,4.1,4.2,4.3,4.5,4.6,4.7,4.9,5.0,5.2
Botswana,1.0,1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.4,1.4
Burkina Faso,7.1,7.3,7.5,7.7,7.9,8.1,8.3,8.5,8.7,9.0
Burundi,3.3,3.4,3.5,3.6,3.8,3.9,4.0,4.1,4.2,4.3
Cameroon,11.0,11.3,11.8,12.3,12.6,12.9,13.2,13.7,14.3,14.6
Central African Republic,3.1,3.2,3.3,3.4,3.4,3.5,3.5,3.5,3.5,3.4
Chad,3.3,3.4,3.5,3.6,3.7,3.7,3.8,3.9,4.0,4.1
Congo,2.4,2.4,2.5,2.6,2.8,3.1,3.5,3.6,3.7,3.8
Cote d'Ivoire,11.9,12.1,12.3,12.0,12.1,12.0,11.8,12.2,12.7,13.1
Egypt,1.8,1.9,1.9,2.0,2.0,2.1,2.1,2.2,2.2,2.3
Equatorial Guinea,0.5,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6
Ethiopia,35.2,36.0,36.7,37.5,38.3,39.3,40.3,41.4,42.5,43.7
Gabon,3.1,3.3,3.6,3.5,3.5,3.5,3.8,3.9,4.2,4.3
Gambia,0.7,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Ghana,14.3,16.2,16.4,16.5,16.6,16.8,17.0,17.2,17.7,17.1
Guinea,3.1,3.4,3.4,3.5,3.4,3.5,3.6,3.8,3.9,4.0
Guinea-Bissau,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
Kenya,26.6,27.6,28.8,29.8,30.9,32.0,33.2,34.4,35.6,36.9
Lesotho,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6
Liberia,4.4,4.1,4.2,4.3,5.3,5.6,5.9,6.0,6.1,6.1
Libyan Arab Jamah,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
Madagascar,6.5,6.7,6.8,7.0,7.2,7.4,7.6,7.9,8.1,8.3
Malawi,6.2,6.4,6.6,6.9,7.1,7.4,7.6,7.9,8.2,8.5
Mali,4.4,4.5,4.7,4.8,4.9,5.1,5.3,5.4,5.6,5.8
Morocco,1.6,1.8,2.0,2.2,2.0,2.0,1.9,2.1,2.0,2.5
Mozambique,14.4,14.8,15.0,15.2,15.6,16.0,16.0,16.0,16.0,16.1
Niger,3.8,4.0,4.1,4.2,4.4,4.5,4.7,4.8,5.0,5.1
Nigeria,84.8,86.7,89.5,92.5,95.3,98.3,101.3,104.5,107.7,111.1
Rwanda,5.2,5.3,5.6,5.8,5.8,5.8,5.8,6.6,5.6,5.6
Senegal,3.6,3.9,4.0,4.4,4.6,4.5,4.5,4.4,4.9,5.1
Sierra Leone,2.6,2.6,2.7,2.7,2.8,2.9,2.9,3.0,3.1,3.1
Somalia,5.5,5.7,5.9,6.1,6.3,6.5,6.7,6.9,7.1,7.3
South Africa,19.5,20.6,19.0,19.0,18.6,19.0,19.4,19.4,20.1,19.7
Sudan,18.0,18.6,19.2,19.7,20.3,20.9,21.5,22.2,22.8,23.4
Swaziland,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
Togo,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.9,0.9,1.2
Tunisia,2.6,2.7,2.8,2.9,2.9,3.0,3.1,3.2,3.2,3.3
Uganda,11.4,11.8,12.2,12.6,13.1,13.6,14.1,14.6,15.1,15.7
United Rep Tanzania,25.2,26.2,27.2,28.2,29.5,30.8,31.9,33.1,34.3,35.5
Zaire,28.3,29.1,30.0,33.7,34.7,35.6,37.2,37.7,39.0,40.1
Zambia,9.6,10.0,10.4,10.8,11.3,11.7,12.2,12.7,13.2,13.7
Zimbabwe,7.1,6.8,7.1,7.2,7.3,7.6,7.8,7.9,7.9,7.9
North America,575.7,640.9,688.8,683.7,717.9,738.8,750.0,755.8,756.7,737.4
Bahamas,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Belize,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Canada,129.7,157.0,167.5,168.7,177.1,177.1,180.1,177.7,181.2,178.0
Costa Rica,3.3,3.2,3.4,3.5,3.6,3.9,4.0,4.0,4.1,4.2
Cuba,3.4,3.3,3.3,3.3,3.4,3.2,3.3,3.1,3.1,3.1
Dominican Republic,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
El Salvador,4.0,4.0,4.0,4.1,4.2,4.2,4.4,4.5,4.6,4.7
Guatemala,6.3,6.5,6.6,6.9,7.0,7.2,7.4,7.6,7.8,8.0
Haiti,5.0,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,6.0
Honduras,5.1,4.8,5.1,5.4,5.5,5.8,6.0,6.1,6.2,6.3
Jamaica,0.0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2
Mexico,19.5,19.8,20.8,21.4,21.3,21.9,22.1,23.5,23.4,23.6
Nicaragua,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4.0,4.1,4.2
Panama,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.9,1.9,1.9
Trinidad and Tobago,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
United States,393.0,430.4,466.1,458.3,483.5,502.6,509.9,516.0,512.8,495.8
South America,287.4,296.6,305.1,311.4,319.1,325.9,332.0,343.0,343.4,345.4
Argentina,9.3,11.5,11.3,11.1,10.8,10.8,10.8,10.8,10.8,10.8
Bolivia,1.3,1.3,1.3,1.4,1.4,1.4,1.5,1.6,1.6,1.6
Brazil,220.1,225.4,231.5,236.3,241.1,246.3,251.7,261.8,260.8,264.6
Chile,12.8,13.9,15.0,15.7,16.4,16.6,16.8,17.4,18.7,18.8
Colombia,16.9,17.2,17.5,17.8,18.1,18.4,18.7,19.1,19.4,19.7
Ecuador,7.6,7.9,8.2,8.6,8.9,9.3,9.5,9.7,10.2,7.8
French Guiana,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Guyana,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Paraguay,6.8,6.8,7.5,7.7,8.2,8.5,8.4,8.4,8.4,8.5
Peru,7.8,7.8,7.7,7.7,8.5,8.7,8.8,8.6,7.7,7.9
Suriname,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1
Uruguay,2.9,2.9,3.1,3.3,3.7,3.9,3.7,3.6,3.8,3.8
Venezuela,1.2,1.3,1.3,1.3,1.3,1.3,1.5,1.4,1.3,1.3
Asia,930.7,951.1,976.9,985.9,1009.8,1029.8,1049.4,1059.6,1069.3,1086.1
Afghanistan,6.1,5.9,5.8,5.8,5.8,5.9,6.0,6.2,6.5,6.8
Bangladesh,25.3,25.8,26.5,27.1,27.9,28.6,29.4,30.1,30.9,31.8
Bhutan,1.3,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.6
Brunei Darussalam,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Cambodia,4.9,5.0,5.2,5.3,5.4,5.6,5.7,5.8,6.0,6.4
China,239.0,245.4,258.4,265.3,271.4,276.5,279.6,281.8,280.0,282.3
Cyprus,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Hong Kong,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
India,232.3,237.9,243.6,249.4,254.3,259.2,264.2,269.3,274.5,279.8
Indonesia,146.0,151.7,155.6,154.7,161.2,161.8,165.6,163.8,166.7,173.0
Iran,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.8
Iraq,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2
Israel,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Japan,32.8,31.6,33.1,33.5,32.1,31.3,31.1,30.8,29.6,28.3
Korea Dem P R,4.4,4.4,4.5,4.5,4.5,4.6,4.6,4.6,4.7,4.7
Korea Republic of,8.4,8.4,7.7,6.7,6.7,6.9,6.8,6.8,6.5,6.5
Lao Peoples Dem Rep,3.3,3.4,3.5,3.7,3.7,3.8,3.9,4.0,4.2,4.3
Lebanon,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Malaysia,41.0,41.2,39.7,37.5,39.0,44.4,48.5,50.8,49.7,49.3
Mongolia,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
Myanmar,18.9,18.9,19.6,19.8,20.0,20.2,20.6,21.8,23.2,23.6
Nepal,15.0,15.4,15.8,16.2,16.6,17.0,17.4,17.8,18.2,18.7
Pakistan,18.8,19.6,20.6,21.5,22.2,22.8,23.6,24.8,26.6,27.2
Philippines,34.5,35.3,35.8,35.3,36.0,37.5,38.0,38.2,38.4,38.7
Sri Lanka,8.3,8.5,8.6,8.5,8.6,8.8,8.9,9.0,9.0,9.1
Syrian Arab Republic,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
Thailand,34.3,35.0,35.9,36.3,37.1,37.8,38.2,37.6,37.7,37.9
Turkey,21.9,20.8,19.7,16.3,17.9,16.8,16.8,15.5,15.8,15.8
Viet Nam,23.8,24.7,25.5,26.4,27.2,28.0,28.2,28.6,28.8,29.5
Yemen,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Europe,333.8,338.0,345.7,345.4,347.3,346.6,354.2,368.3,396.7,335.5
Albania,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.1,2.6
Austria,13.4,13.6,14.2,14.2,13.7,13.6,15.0,16.3,17.6,16.8
Belgium-Luxembourg,2.9,3.0,3.1,3.3,3.3,3.7,4.0,4.8,5.6,5.1
Bulgaria,4.9,4.8,4.8,4.8,4.5,3.6,3.6,4.2,4.1,3.6
Former Czechoslovakia,18.9,18.8,18.9,19.0,18.9,18.7,18.1,18.2,17.9,16.5
Denmark,3.7,3.0,2.6,2.3,2.3,2.1,2.2,2.1,2.3,2.3
Finland,37.7,38.4,40.5,41.7,40.7,41.9,44.9,47.1,43.6,34.1
